"rn","Value","Std.Error","p-value"
"All species",-1.01596953667263,0.0297546949768065,6.03211610557833e-252
"(Intercept)",-1.01596953667263,0.0297546949768065,6.03211610557833e-252
"logDBH",1.20563575834172,0.0243934103541134,0
"logIntraH",-0.168029532554199,0.00499944135416503,2.78229030683755e-244
"logInterH",-0.0331982781844404,0.00345071514348659,6.90074789550642e-22
"logSA",-0.714004604020531,0.0561654531706528,5.92781471584969e-37
"logDBH × Year",-0.00101779786362928,0.00184715815400179,0.581631618763209
"logDBH × logIntraH",-0.0622851613964038,0.00307963962654432,1.65806195318493e-90
"logDBH × logInterH",-0.0664963643770794,0.00292323137802072,7.84876368373209e-114
"logDBH × logSA",0.107431893262999,0.0260560106928285,3.74528607105819e-05
"logIntraH × Year",-0.00692797641394394,0.00044920185492672,1.63128926567062e-53
"logInterH × Year",-0.000386350737503103,0.000356503638377945,0.278494645155513
"logIntraH × logInterH",-0.0198536390899433,0.00110823556904694,1.71193015082048e-71
"logIntraH × logSA",0.0791184406708083,0.00781241797856271,4.46710066766815e-24
"logInterH × logSA",0.0802991160635029,0.00550204333302312,4.03855738611614e-48
"Jack pine",-0.992287833053268,0.0796136952431259,2.03162757459109e-35
"(Intercept)",-0.992287833053268,0.0796136952431259,2.03162757459109e-35
"logDBH",0.848313329580402,0.0649317492271144,1.01185209025067e-38
"logIntraH",-0.624067303152952,0.024915405661494,9.95463049681645e-135
"logSA",-0.668690242544846,0.124671371287316,8.32097719323842e-08
"logDBH × logIntraH",-0.0676585016354659,0.00995970864194861,1.15275260743814e-11
"logDBH × logInterH",-0.0645767620534967,0.0115528069159988,2.32836181597339e-08
"logDBH × logSA",1.83947682387173,0.0915233906450402,2.81960824725931e-88
"logIntraH × Year",-0.02703231339904,0.00107996244091646,1.47819148381074e-134
"logSA × Year",-0.14529018098067,0.00669439545642937,2.53641512880889e-102
"logIntraH × logInterH",-0.035299124571879,0.00500499639177774,1.8582927157485e-12
"logIntraH × logSA",0.748866827898179,0.0384947589859056,6.48797608276318e-83
"logSA × logInterH",0.0185503246778757,0.0140773159775281,0.187615978561157
"Trembling aspen",-0.729076932189476,0.0846108985429701,8.19236624138003e-18
"(Intercept)",-0.729076932189476,0.0846108985429701,8.19236624138003e-18
"logDBH",1.38919780385894,0.0955448174643726,2.67377839800605e-47
"logIntraH",-0.43730329616783,0.0285542767914475,3.27852512186362e-52
"logInterH",-0.0363508037909781,0.0101357770804373,0.000337273114880008
"logSA",-0.859779060263771,0.151560661835078,1.45295249476661e-08
"logDBH × logIntraH",-0.082485747558025,0.0132027869416223,4.37891067011329e-10
"logDBH × logInterH",0.0251226379071621,0.012538219674611,0.0451371684390556
"logIntraH × Year",-0.0119206381557264,0.00149769447614896,1.96474408933994e-15
"logInterH × Year",-0.00620297839122795,0.00103737769836812,2.33361687492425e-09
"logSA × Year",-0.0641355825024273,0.00688736033351085,1.58769486836017e-20
"logIntraH × logInterH",0.0109600745061453,0.00574361901086008,0.0563984972455469
"logIntraH × logSA",0.0676153455169554,0.0274315823825778,0.0137268507760803
"logInterH × logSA",0.162167519703305,0.020714166370266,5.54890046293962e-15
"Black spruce",-1.62186985782792,0.0616397573794478,2.05500782091859e-149
"(Intercept)",-1.62186985782792,0.0616397573794478,2.05500782091859e-149
"logDBH",0.464523433481917,0.0477773431162334,2.78157552331487e-22
"Year",-0.0143186489144185,0.00483795742131343,0.00308442088708726
"logIntraH",-0.386379306622739,0.0163207749059218,8.18189082176255e-122
"logInterH",-0.148832238817562,0.0121229554887671,1.72270724101896e-34
"logSA",-0.498653957492698,0.124212286756249,5.98356801358336e-05
"logDBH × Year",-0.0179862743913466,0.00394420881196838,5.14902454204122e-06
"logDBH × logIntraH",-0.0539374090350337,0.00578742602830628,1.31478670903486e-20
"logDBH × logInterH",-0.0990591644206273,0.00765009749888025,3.7121124137831e-38
"logDBH × logSA",0.112268087760267,0.0428957456172257,0.00887295694475772
"Year × logIntraH",-0.0157981585113363,0.0014784489066307,1.46040019293005e-26
"Year × logInterH",-0.00417528219509631,0.00113726550441452,0.00024207161178053
"logIntraH × logInterH",-0.0329100898134771,0.00456734683105096,6.04012447126882e-13
"logInterH × logSA",0.242600848550168,0.0203399503787426,1.17274611380716e-32
"Other species",-0.971893737997828,0.0436807064522368,5.93850181203009e-105
"(Intercept)",-0.971893737997828,0.0436807064522368,5.93850181203009e-105
"logDBH",1.03179773667987,0.0584079609098947,6.46539214578038e-68
"Year",-0.0231831999940654,0.00539325317633466,1.7497904777243e-05
"logIntraH",-0.20332948151678,0.0108349118914231,3.87566918708613e-76
"logInterH",-0.120585051327385,0.0160665863569779,7.13998736268192e-14
"logSA",-0.550458490919177,0.0977102351853448,1.85550009681938e-08
"logDBH × logIntraH",-0.0423026732935423,0.00649412975513247,7.99057543930437e-11
"logDBH × logInterH",-0.0487322914132252,0.00694142977940575,2.48709240841853e-12
"Year × logSA",0.0397606625604584,0.00953868117322972,3.11659076109144e-05
"logInterH × logSA",0.152112412283267,0.0146325728776003,4.50782791923904e-25
