"Species","MarR2","ConR2","Variable","Value","Std.Error","DF","t.value","p.value"
"JP",0.690948692445729,0.947589766764158,"(Intercept)",-0.904131427997254,0.1044193708135,11083,-8.65865615693175,5.43396379291363e-18
"JP",0.690948692445729,0.947589766764158,"logDBHctd",1.31866587915412,0.052183853483304,11083,25.2696148546412,4.99000873971118e-137
"JP",0.690948692445729,0.947589766764158,"Yearctd",-0.0466533725578714,0.00873212330173625,11083,-5.34272947664345,9.33711304725676e-08
"JP",0.690948692445729,0.947589766764158,"logHctd",-0.684620247586057,0.028309055732596,11083,-24.1837895990915,5.84183720528153e-126
"JP",0.690948692445729,0.947589766764158,"RBIctd",0.00558753441181869,0.00084552951789987,11083,6.60832566283082,4.06521499226298e-11
"JP",0.690948692445729,0.947589766764158,"logDBHctd:logHctd",0.18208747941588,0.0223248276327751,11083,8.15627705669525,3.82765220331216e-16
"JP",0.690948692445729,0.947589766764158,"logDBHctd:RBIctd",0.0161210943967344,0.00074916063381828,11083,21.5188754841125,1.1703153081754e-100
"JP",0.690948692445729,0.947589766764158,"Yearctd:RBIctd",0.000936395751946682,4.77055066115735e-05,11083,19.6286722111763,2.36150546205216e-84
"JP",0.690948692445729,0.947589766764158,"logHctd:RBIctd",0.00828056895334417,0.000740358592066973,11083,11.1845381982075,6.92956663524197e-29
"JP",0.690948692445729,0.947589766764158,"logDBHctd:Yearctd:logHctd",0.0204057077352649,0.00282879044190318,11083,7.2135805583167,5.80555866922263e-13
"JP",0.690948692445729,0.947589766764158,"logDBHctd:Yearctd:RBIctd",0.00063490203200949,0.000107112665367037,11083,5.92742258661855,3.16892091040376e-09
"JP",0.690948692445729,0.947589766764158,"logDBHctd:logHctd:RBIctd",0.00313706402619153,0.000257471050196366,11083,12.1841427368202,6.22162446957975e-34
"TA",0.721198915485435,0.909507445188429,"(Intercept)",-0.575408611446163,0.0684364720689044,8086,-8.40792334921677,4.88738573302003e-17
"TA",0.721198915485435,0.909507445188429,"logDBHctd",1.55213280250008,0.057665338483186,8086,26.9162176677876,6.66245212988826e-153
"TA",0.721198915485435,0.909507445188429,"Yearctd",-0.0301095602818434,0.00687041747500703,8086,-4.3824935517201,1.18810562332358e-05
"TA",0.721198915485435,0.909507445188429,"logHctd",-0.461501732786837,0.0346321441065049,8086,-13.3258204102978,4.32905160677292e-40
"TA",0.721198915485435,0.909507445188429,"RBIctd",0.0153313991147501,0.000799822795250105,8086,19.1684948288527,3.98845617078209e-80
"TA",0.721198915485435,0.909507445188429,"logDBHctd:logHctd",0.10425767984277,0.0284822784655404,8086,3.66044029689928,0.000253386956067677
"TA",0.721198915485435,0.909507445188429,"logDBHctd:RBIctd",0.00741044554106437,0.00128097925187385,8086,5.78498483111587,7.52201267046175e-09
"TA",0.721198915485435,0.909507445188429,"Yearctd:RBIctd",0.000614334876074347,5.03498013272491e-05,8086,12.2013366464243,6.0718666460761e-34
"TA",0.721198915485435,0.909507445188429,"logHctd:RBIctd",0.00469184587971547,0.00103129877967796,8086,4.54945353584203,5.45697896981365e-06
"TA",0.721198915485435,0.909507445188429,"logDBHctd:logHctd:RBIctd",0.00633874866295484,0.00046188670822278,8086,13.7236005065933,2.18418197525651e-42
"BS",0.576750186056423,0.876740951851573,"(Intercept)",-1.31100188614944,0.0796119768854979,16015,-16.467395201541,1.97433669136894e-60
"BS",0.576750186056423,0.876740951851573,"logDBHctd",0.463080938013252,0.041133194774892,16015,11.2580834177247,2.7223831674077e-29
"BS",0.576750186056423,0.876740951851573,"logHctd",-0.655410504246959,0.024754446711602,16015,-26.4764755957878,3.19212549185426e-151
"BS",0.576750186056423,0.876740951851573,"RBIctd",0.0151584273127841,0.000966048325028808,16015,15.6911687749493,4.46923582252783e-55
"BS",0.576750186056423,0.876740951851573,"logDBHctd:Yearctd",-0.0244631911239809,0.00448808915366285,16015,-5.45069188387576,5.09160453739142e-08
"BS",0.576750186056423,0.876740951851573,"logDBHctd:RBIctd",0.0136137081002626,0.000688245540023263,16015,19.7803070395523,4.67658288780244e-86
"BS",0.576750186056423,0.876740951851573,"logHctd:Yearctd",-0.0116841553203793,0.00315209869759181,16015,-3.70678599921569,0.000210613600260571
"BS",0.576750186056423,0.876740951851573,"RBIctd:Yearctd",0.000834440538248106,8.98016816120696e-05,16015,9.29203688916172,1.7042846732386e-20
"BS",0.576750186056423,0.876740951851573,"logHctd:RBIctd",0.0110364994999813,0.000595812262170737,16015,18.5234514304418,8.26622124678431e-76
"BS",0.576750186056423,0.876740951851573,"logDBHctd:logHctd:Yearctd",0.00839368707892177,0.0019536580614331,16015,4.29639518021111,1.74621775069631e-05
"BS",0.576750186056423,0.876740951851573,"logDBHctd:RBIctd:Yearctd",0.000522090951741689,8.9116012717586e-05,16015,5.85855376402697,4.76072176722707e-09
"BS",0.576750186056423,0.876740951851573,"logDBHctd:logHctd:RBIctd",0.00258287600214678,0.000191781831884633,16015,13.4677825149805,4.05201122721316e-41
"BS",0.576750186056423,0.876740951851573,"logHctd:RBIctd:Yearctd",0.000507047333116327,9.75425992770795e-05,16015,5.19821428662167,2.03685206868268e-07
