"Species","sizeWeight","disweight","IntraHAIC","InterHAIC"
"All","0",0,185473.195075387,185615.567949735
"JP","0",0,49439.7922949932,49461.5267014842
"TA","0",0,35288.9402855904,35297.0549809582
"BS","0",0,67338.8553794277,67468.1084698286
"Other","0",0,26642.8373266476,26640.3344631143
"All","0",0.1,185476.986833954,185598.167527467
"JP","0",0.1,49436.582241442,49461.8645265298
"TA","0",0.1,35287.6038234448,35296.3834910482
"BS","0",0.1,67347.2711756574,67467.7902188242
"Other","0",0.1,26642.6443971783,26639.3311512747
"All","0",0.2,185483.225027505,185579.531220613
"JP","0",0.2,49432.6890117944,49462.1459818193
"TA","0",0.2,35286.1940209438,35295.6175519072
"BS","0",0.2,67357.1740755534,67467.3441690648
"Other","0",0.2,26642.4016617561,26638.0448630679
"All","0",0.3,185492.361835449,185559.62802286
"JP","0",0.3,49427.9287324037,49462.3603616572
"TA","0",0.3,35284.7149729346,35294.7545051811
"BS","0",0.3,67368.5921808362,67466.7193271533
"Other","0",0.3,26642.099485254,26636.4084583139
"All","0",0.4,185504.894443535,185538.459588749
"JP","0",0.4,49422.0642604318,49462.4982657664
"TA","0",0.4,35283.1754777327,35293.7938186379
"BS","0",0.4,67381.4562353153,67465.8492715446
"Other","0",0.4,26641.7250693785,26634.3454021257
"All","0",0.5,185521.341318019,185516.071571476
"JP","0",0.5,49414.7935547036,49462.5515315672
"TA","0",0.5,35281.5919349337,35292.7378811708
"BS","0",0.5,67395.5525384251,67464.6513116921
"Other","0",0.5,26641.261459097,26631.7709373281
"All","0",0.6,185542.202859016,185492.567361059
"JP","0",0.6,49405.740229541,49462.5130565266
"TA","0",0.6,35279.9923439845,35291.5929722427
"BS","0",0.6,67410.4728298126,67463.0287570095
"Other","0",0.6,26640.6863737125,26628.5948109584
"All","0",0.7,185567.902115262,185468.124004534
"JP","0",0.7,49394.4510072246,49462.3766720085
"TA","0",0.7,35278.4209379976,35290.3703320716
"BS","0",0.7,67425.5718826232,67460.8781606989
"Other","0",0.7,26639.9709786154,26624.7263659735
"All","0",0.8,185598.702299019,185443.008599644
"JP","0",0.8,49380.4072952531,49462.1372283315
"TA","0",0.8,35276.9421569281,35289.0871308666
"BS","0",0.8,67439.9492630673,67458.1027676824
"Other","0",0.8,26639.0789452899,26620.082850093
"All","0",0.9,185634.601990593,185417.591514941
"JP","0",0.9,49363.060399583,49461.7909833316
"TA","0",0.9,35275.64158743,35287.7670203975
"BS","0",0.9,67452.4758491182,67454.6314190995
"Other","0",0.9,26637.9664158123,26614.6014650924
"All","0",1,185675.216955738,185392.351156835
"JP","0",1,49341.8999720096,49461.3362642982
"TA","0",1,35274.6207873258,35286.4399337652
"BS","0",1,67461.8841375671,67450.4390716172
"Other","0",1,26636.5836047957,26608.2547228222
"All","0",1.1,185719.669253002,185367.864688074
"JP","0",1.1,49316.5590696723,49460.7742555869
"TA","0",1.1,35273.9838116209,35285.1409180026
"BS","0",1.1,67466.928845258,67445.5623016823
"Other","0",1.1,26634.8785415046,26601.0669988296
"All","0",1.2,185766.516981949,185344.780913409
"JP","0",1.2,49286.9428016258,49460.1097244478
"TA","0",1.2,35273.8167098508,35283.9079944594
"BS","0",1.2,67466.5980321575,67440.1029157301
"Other","0",1.2,26632.8028459611,26593.1282175205
"All","0",1.3,185813.764747813,185323.775478709
"JP","0",1.3,49253.3441783587,49459.351540678
"TA","0",1.3,35274.1661834539,35282.7792517134
"BS","0",1.3,67460.3217318601,67434.2164227341
"Other","0",1.3,26630.3186510116,26584.5994751386
"All","0",1.4,185858.986745897,185305.49349343
"JP","0",1.4,49216.4954430342,49458.5129019441
"TA","0",1.4,35275.0263867734,35281.7895275353
"BS","0",1.4,67448.1053692923,67428.0882704496
"Other","0",1.4,26627.4051811657,26575.7063552677
"All","0",1.5,185899.566658044,185290.488930704
"JP","0",1.5,49177.5145440873,49457.6111954884
"TA","0",1.5,35276.3402231053,35280.9671472307
"BS","0",1.5,67430.5318063986,67421.9056875648
"Other","0",1.5,26624.0633919724,26566.719016616
"All","0",1.6,185933.017667824,185279.172010933
"JP","0",1.6,49137.7475978818,49456.6674315567
"TA","0",1.6,35278.014368468,35280.3312704156
"BS","0",1.6,67408.6286812995,67415.8336755644
"Other","0",1.6,26620.3175403447,26557.9225822157
"All","0",1.7,185957.30974261,185271.774360129
"JP","0",1.7,49098.5562413376,49455.7052212745
"TA","0",1.7,35279.9407790527,35279.8903764527
"BS","0",1.7,67383.6548131582,67410.0003756925
"Other","0",1.7,26616.2133803204,26549.5847691101
"All","0",1.8,185971.120423172,185268.337483358
"JP","0",1.8,49061.1210019649,49454.7493533307
"TA","0",1.8,35282.0160322162,35279.6421914861
"BS","0",1.8,67356.8832983203,67404.4924938946
"Other","0",1.8,26611.8135123155,26541.9283924703
"All","0",1.9,185973.948697881,185268.724611415
