"Species","sizeWeight","disweight","IntraHAIC","InterHAIC"
"All","0",0,153346.862877599,160765.414393833
"JP","0",0,35888.3962862765,45080.9958136108
"TA","0",0,24557.0209664237,30076.6483932905
"BS","0",0,45547.2643954255,51552.9520444663
"Other","0",0,21283.2145528649,20182.1486619098
"All","0",0.2,151963.969100365,160565.731449577
"JP","0",0.2,35691.4954174496,45052.5114478287
"TA","0",0.2,24485.1687599688,30051.1390234839
"BS","0",0.2,45317.1113373307,51128.8710893377
"Other","0",0.2,21071.1034868669,20067.2923930686
"All","0",0.4,150513.567040323,160508.682407152
"JP","0",0.4,35470.0348002807,45099.3230244858
"TA","0",0.4,24448.5788195224,30059.5585663446
"BS","0",0.4,45077.8597313112,50931.5686716118
"Other","0",0.4,20879.2999409339,19976.3519853193
"All","0",0.6,149050.0789006,160594.330545968
"JP","0",0.6,35230.4295428557,45214.096393778
"TA","0",0.6,24475.6230520931,30102.4769706829
"BS","0",0.6,44841.2353929291,50976.7337243696
"Other","0",0.6,20727.7424945145,19919.7908579916
"All","0",0.8,147675.644426364,160828.525911261
"JP","0",0.8,34997.7547875062,45385.202357833
"TA","0",0.8,24614.19332652,30185.6824314039
"BS","0",0.8,44641.9678960842,51268.3075240983
"Other","0",0.8,20639.8790075973,19908.3887554327
"All","0",1,146561.353461844,161226.746250033
"JP","0",1,34833.463085781,45601.184061876
"TA","0",1,24936.2762477192,30318.2077356686
"BS","0",1,44553.3136313853,51804.1968096895
"Other","0",1,20639.4061461055,19953.2156591498
"All","0",1.2,145954.931308583,161813.103970967
"JP","0",1.2,34848.4005046427,45853.676879548
"TA","0",1.2,25525.9250310555,30509.1078800977
"BS","0",1.2,44693.0110342647,52575.6360938437
"Other","0",1.2,20745.6087162748,20065.0367589512
"All","0",1.4,146136.213066273,162611.968693482
"JP","0",1.4,35180.5550913627,46137.180408575
"TA","0",1.4,26431.9342181949,30763.7085008712
"BS","0",1.4,45197.6652846986,53557.9533583436
"Other","0",1.4,20967.2334055612,20252.0154870051
"All","0",1.6,147299.023855053,163634.511043258
"JP","0",1.6,35916.8310683322,46446.1430895706
"TA","0",1.6,27604.986514018,31080.2231329353
"BS","0",1.6,46157.6099516814,54702.0582776737
"Other","0",1.6,21296.6252340535,20516.0101231283
"All","0",1.8,149421.68165299,164866.893117974
"JP","0",1.8,37014.0691780254,46771.7598495524
"TA","0",1.8,28893.6893321031,31447.9634021163
"BS","0",1.8,47550.7011052485,55937.3567767375
"Other","0",1.8,21708.4196714018,20849.6551227025
"All","0",2,152246.629858116,166266.812721481
"JP","0",2,38312.5149887826,47101.1334595265
"TA","0",2,30124.6822157586,31848.2584380204
"BS","0",2,49238.4055889841,57186.2977628244
"Other","0",2,22165.7502629369,21236.5270243488
"All","0.5",0,141046.466211527,154614.628685412
"JP","0.5",0,35461.0440812831,43407.1217307502
"TA","0.5",0,24075.5340001098,28800.6593294403
"BS","0.5",0,44894.9810168623,49463.9545701585
"Other","0.5",0,19919.2415590411,19246.3109717475
"All","0.5",0.2,140004.372760132,154649.811387254
"JP","0.5",0.2,35316.8183497002,43454.3989018886
"TA","0.5",0.2,24008.7814939478,28830.9220410901
"BS","0.5",0.2,44729.2762837369,49285.4904638629
"Other","0.5",0.2,19777.9781256185,19199.4575091759
"All","0.5",0.4,138961.408675247,154813.578353744
"JP","0.5",0.4,35149.5420884216,43573.9711529498
"TA","0.5",0.4,23957.2763247382,28891.1399876357
"BS","0.5",0.4,44545.9036272852,49249.0844313056
"Other","0.5",0.4,19658.5102639295,19172.382241824
"All","0.5",0.6,137960.098397092,155104.382616804
"JP","0.5",0.6,34958.707215378,43757.1401070523
"TA","0.5",0.6,23935.349074016,28982.7306333335
"BS","0.5",0.6,44347.2780903217,49356.7739264595
"Other","0.5",0.6,19571.852381852,19171.0402776667
"All","0.5",0.8,137068.184416358,155524.407297862
"JP","0.5",0.8,34751.5841715437,43993.24812609
"TA","0.5",0.8,23967.9742270728,29110.0518668259
"BS","0.5",0.8,44146.3864100722,49609.703122729
"Other","0.5",0.8,19529.9737766327,19201.2286726062
"All","0.5",1,136389.317761154,156081.355817017
"JP","0.5",1,34552.7874678709,44271.8990706155
"TA","0.5",1,24095.908463749,29278.7338788112
"BS","0.5",1,43975.3829049424,50011.5750854216
"Other","0.5",1,19544.6677417945,19268.7157025344
"All","0.5",1.2,136069.681455705,156787.63859
"JP","0.5",1.2,34415.3679611737,44584.3226696978
"TA","0.5",1.2,24377.0763782966,29493.740544759
"BS","0.5",1.2,43892.4118614819,50568.0378637801
"Other","0.5",1.2,19626.49943561,19379.2142704616
"All","0.5",1.4,136282.733331627,157655.65223013
"JP","0.5",1.4,34422.1904960178,44923.2963722079
"TA","0.5",1.4,24873.0761376311,29757.5632765894
"BS","0.5",1.4,43978.0352167075,51280.579996649
"Other","0.5",1.4,19783.1925141502,19537.5499160486
"All","0.5",1.6,137178.384344686,158690.511128861
"JP","0.5",1.6,34662.5063332561,45281.8791965687
"TA","0.5",1.6,25615.1900307731,30068.7725328377
"BS","0.5",1.6,44314.3644020182,52138.5488807042
"Other","0.5",1.6,20016.9839972569,19746.0508017752
"All","0.5",1.8,138813.116707121,159883.599970893
"JP","0.5",1.8,35187.2161427645,45652.0276450346
"TA","0.5",1.8,26570.7843997683,30421.1785853959
"BS","0.5",1.8,44951.8382915767,53114.8213038103
"Other","0.5",1.8,20321.9647872748,20002.9858220354
"All","0.5",2,141108.798810028,161210.043084258
"JP","0.5",2,35975.5418409922,46024.169167
"TA","0.5",2,27646.0572104786,30803.9778540043
"BS","0.5",2,45883.4562274811,54168.0472513448
"Other","0.5",2,20683.5882209456,20301.9672641035
"All","1",0,135803.687288421,151335.680842774
"JP","1",0,35388.5328891277,42528.4479850165
"TA","1",0,24063.8800298062,28214.4376464505
"BS","1",0,44730.1053494385,48584.5217109467
"Other","1",0,19319.9611515075,18873.8939030097
