"Species","sizeWeight","disWeight","HAIC","IntraHAIC","InterHAIC"
"All species","0",0,151494.463736158,162448.940169413,169164.512131098
"Jack pine","0",0,40079.0211459565,40941.3635469469,45802.1114920178
"Trembling aspen","0",0,29017.9838899707,32622.9905209053,34560.0679605409
"Black spruce","0",0,58952.4012447447,61282.862892149,64727.4885523903
"Other species","0",0,19953.514360409,22266.5384291642,21783.2427944337
"All species","0",0.1,151434.98469748,162222.103541991,169029.695044173
"Jack pine","0",0.1,40051.3854038428,40909.9602456069,45802.3426979995
"Trembling aspen","0",0.1,28992.5691557868,32579.2451426816,34525.2380279175
"Black spruce","0",0.1,58933.2016474273,61205.6052943215,64666.8864496718
"Other species","0",0.1,19942.5775959068,22231.2802270417,21747.1203374973
"All species","0",0.2,151373.719213298,161988.836110051,168897.1633236
"Jack pine","0",0.2,40021.2606199382,40876.2297357755,45802.7706583905
"Trembling aspen","0",0.2,28966.8727982763,32534.5296122533,34490.0076411971
"Black spruce","0",0.2,58913.1522180027,61126.2991324976,64607.218675252
"Other species","0",0.2,19931.9496689796,22196.2508301617,21711.2808573054
"All species","0",0.3,151311.162568722,161750.074389171,168767.622206338
"Jack pine","0",0.3,39988.4921017804,40839.9914254121,45803.3896275642
"Trembling aspen","0",0.3,28941.3120830567,32488.9916779265,34454.5726273422
"Black spruce","0",0.3,58892.2511252555,61045.1839380767,64548.6682504255
"Other species","0",0.3,19921.989792959,22161.977224799,21676.093271244
"All species","0",0.4,151248.107672731,161507.28568617,168641.933167907
"Jack pine","0",0.4,39953.0103762988,40801.1412890541,45804.1972194163
"Trembling aspen","0",0.4,28916.5441081655,32442.9091233685,34419.1918527323
"Black spruce","0",0.4,58870.5529661052,60962.6659269216,64491.4755318112
"Other species","0",0.4,19913.161555641,22129.1246919321,21641.9947378503
"All species","0",0.5,151185.775623659,161262.602322586,168521.122518458
"Jack pine","0",0.5,39914.8954049193,40759.7107816604,45805.1946547178
"Trembling aspen","0",0.5,28893.5694884539,32396.7413956598,34384.1939646015
"Black spruce","0",0.5,58848.2050138625,60879.3959933524,64435.9527107634
"Other species","0",0.5,19906.0535244984,22098.4911763699,21609.4876288952
"All species","0",0.6,151125.997642956,161019.005936015,168406.385737287
"Jack pine","0",0.6,39874.4706731879,40715.9516274412,45806.387253286
"Trembling aspen","0",0.6,28873.869312388,32351.1968556869,34349.9812553138
"Black spruce","0",0.6,58825.4996633758,60796.3822660895,64382.4976260011
"Other species","0",0.6,19901.4015799053,22070.990887684,21579.1354953683
"All species","0",0.7,151071.459486071,160780.573867028,168299.087198652
"Jack pine","0",0.7,39832.433885893,40670.450375484,45807.785232779
"Trembling aspen","0",0.7,28859.5767900608,32307.3192019551,34317.0300940878
"Black spruce","0",0.7,58802.9468871621,60715.1388637818,64331.605507648
"Other species","0",0.7,19900.1114128457,22047.627982443,21551.558661489
"All species","0",0.8,151026.009681092,160552.779087918,168200.754014095
"Jack pine","0",0.8,39790.0248156377,40624.2708586794,45809.4048071249
"Trembling aspen","0",0.8,28853.6750477043,32266.5931597091,34285.8874604628
"Black spruce","0",0.8,58781.3682540549,60637.8607115439,64283.8766610445
"Other species","0",0.8,19903.2775048946,22029.4600788337,21527.4291397799
"All species","0",0.9,150995.007960145,160342.802943241,168113.061568389
"Jack pine","0",0.9,39749.2161392701,40579.1115928591,45811.2694948924
"Trembling aspen","0",0.9,28860.1910673158,32231.0594423333,34257.1633081957
"Black spruce","0",0.9,58762.0083463213,60567.5982520068,64240.0174547094
