"Size","disweight","IntraH_AIC","InterH_AIC"
"DBH",0,170913.106662002,174221.965838853
"DBH",0.1,170377.048684231,174096.699643607
"DBH",0.2,169805.003650644,174003.866736672
"DBH",0.3,169196.820104549,173942.26217826
"DBH",0.4,168554.17254103,173910.357395347
"DBH",0.5,167881.402169703,173906.64431734
"DBH",0.6,167186.596938019,173929.99609653
"DBH",0.7,166482.868248783,173980.003996688
"DBH",0.8,165789.665095734,174057.242770489
"DBH",0.9,165133.792032429,174163.408750564
"DBH",1,164549.589340506,174301.271652026
"DBH",1.1,164077.573400784,174474.392741532
"DBH",1.2,163760.890086823,174686.597415882
"DBH",1.3,163639.420740923,174941.248709321
"DBH",1.4,163742.37633366,175240.435190207
"DBH",1.5,164081.381132113,175584.237587773
"DBH",1.6,164646.594420464,175970.248658985
"DBH",1.7,165407.64740963,176393.476403118
"DBH",1.8,166319.25632209,176846.668552543
"DBH",1.9,167329.459601471,177320.986657085
"DBH",2,168387.703447542,177806.873101095
"Biomass",0,153346.862877599,160765.414393833
"Biomass",0.1,152665.890346095,160647.662931254
"Biomass",0.2,151963.969100365,160565.731449577
"Biomass",0.3,151244.694449319,160519.44906074
"Biomass",0.4,150513.567040323,160508.682407152
"Biomass",0.5,149778.437608135,160533.497946311
"Biomass",0.6,149050.0789006,160594.330545968
"Biomass",0.7,148342.888228709,160692.139890668
"Biomass",0.8,147675.644426364,160828.525911261
"Biomass",0.9,147072.135304126,161005.767024808
"Biomass",1,146561.353461844,161226.746250033
"Biomass",1.1,146176.862495834,161494.744270551
"Biomass",1.2,145954.931308583,161813.103970967
"Biomass",1.3,145931.218571814,162184.799940142
"Biomass",1.4,146136.213066273,162611.968693482
"Biomass",1.5,146590.205217948,163095.465360391
"Biomass",1.6,147299.023855053,163634.511043258
"Biomass",1.7,148251.819910854,164226.484496055
"Biomass",1.8,149421.68165299,164866.893117974
"Biomass",1.9,150768.995818562,165549.532324388
"Biomass",2,152246.629858116,166266.812721481
