"Species","sizeIndex","disweight","IntraHAIC","InterHAIC"
"All","DBH",0,170913.106662002,174221.965838853
"JP","DBH",0,39251.8248223477,47226.0260589659
"TA","DBH",0,28522.0866090163,32556.7737710731
"BS","DBH",0,48081.1694983238,56240.9420625875
"Other","DBH",0,23311.0181397345,23137.7558790922
"All","DBH",0.1,170377.048684232,174096.699643607
"JP","DBH",0.1,39132.7623076603,47169.6951768599
"TA","DBH",0.1,28502.3927252367,32507.8121740935
"BS","DBH",0.1,47896.9819855357,55871.2354943529
"Other","DBH",0.1,23202.7561159367,23086.7433669535
"All","DBH",0.2,169805.003650644,174003.866736672
"JP","DBH",0.2,39011.971909085,47133.1814067248
"TA","DBH",0.2,28498.0611141951,32475.38625944
"BS","DBH",0.2,47721.7587631374,55577.3177961096
"Other","DBH",0.2,23095.4149963992,23035.6570596944
"All","DBH",0.3,169196.820104549,173942.26217826
"JP","DBH",0.3,38891.5515812995,47118.0628696294
"TA","DBH",0.3,28512.8639294452,32458.9301701685
"BS","DBH",0.3,47559.6648807502,55368.1844259519
"Other","DBH",0.3,22991.3912180276,22985.9167021908
"All","DBH",0.4,168554.17254103,173910.357395347
"JP","DBH",0.4,38774.8635590704,47124.7903713064
"TA","DBH",0.4,28551.4226179005,32457.6872429712
"BS","DBH",0.4,47416.8815824051,55249.3129192709
"Other","DBH",0.4,22893.7937656635,22939.2672166442
"All","DBH",0.5,167881.402169703,173906.64431734
"JP","DBH",0.5,38667.0824380367,47152.6803738079
"TA","DBH",0.5,28619.2877581505,32470.9756924427
"BS","DBH",0.5,47302.3122515571,55222.7620904816
"Other","DBH",0.5,22806.473146635,22897.7433288152
"All","DBH",0.6,167186.596938019,173929.99609653
"JP","DBH",0.6,38575.8789013073,47200.066437001
"TA","DBH",0.6,28722.9455465404,32498.3755673407
"BS","DBH",0.6,47228.3230897504,55287.7627464959
"Other","DBH",0.6,22733.9629237175,22863.629996137
"All","DBH",0.7,166482.868248783,173980.003996688
"JP","DBH",0.7,38512.1261601137,47264.5746314603
"TA","DBH",0.7,28869.6573812344,32539.8059525526
"BS","DBH",0.7,47211.3205744032,55441.5677619111
"Other","DBH",0.7,22681.2850239718,22839.4233056355
"All","DBH",0.8,165789.665095733,174057.242770489
"JP","DBH",0.8,38490.341823416,47343.4608818596
"TA","DBH",0.8,29066.9684930837,32595.4827894816
"BS","DBH",0.8,47271.8108546523,55680.2522474797
"Other","DBH",0.8,22653.5797934418,22827.7864442848
"All","DBH",0.9,165133.792032429,174163.408750564
"JP","DBH",0.9,38528.3706186741,47433.9369734343
"TA","DBH",0.9,29321.6669272206,32665.76634837
"BS","DBH",0.9,47433.4521711353,55999.1775630435
"Other","DBH",0.9,22655.5592361804,22831.4817354392
"All","DBH",1,164549.589340506,174301.271652026
"JP","DBH",1,38645.7025974356,47533.4188282199
"TA","DBH",1,29638.0394997666,32750.9261327315
"BS","DBH",1,47720.6317357524,56392.9560159777
"Other","DBH",1,22690.8443634217,22853.2486648474
"All","DBH",1.1,164077.573400784,174474.392741532
"JP","DBH",1.1,38860.0342524865,47639.6543539134
"TA","DBH",1.1,30015.5942193873,32850.8697627442
"BS","DBH",1.1,48154.430167316,56854.952011764
"Other","DBH",1.1,22761.3134243346,22895.5986178318
"All","DBH",1.2,163760.890086823,174686.597415882
"JP","DBH",1.2,39182.4359779322,47750.723871256
"TA","DBH",1.2,30446.9944475202,32964.8957874893
