"Predictor","All species Value","All species SE","Jack pine Value","Jack pine SE","Trembling aspen Value","Trembling aspen SE","Black spruce Value","Black spruce SE","Other species Value","Other species SE"
"ATA",-9.385,0.329,-7.457,0.725,-7.427,0.842,-16.461,0.602,-9.449,0.469
"(Intercept)",-9.385,0.329,-7.457,0.725,-7.427,0.842,-16.461,0.602,-9.449,0.469
"DBH",10.222,0.186,6.416,0.488,14.289,0.646,4.777,0.383,11.149,0.462
"SA",-10.66,0.284,-13.445,0.531,-10.761,0.559,-8.788,0.539,-10.575,0.704
"ATA",0.592,0.076,1.309,0.14,NA,NA,1.31,0.107,-0.965,0.197
"IntraH",-2.223,0.038,-7.24,0.191,-4.495,0.206,-3.948,0.133,-1.978,0.088
"InterH",-0.46,0.027,NA,NA,-0.355,0.08,-1.442,0.095,-1.079,0.126
"DBH × SA",2.797,0.16,7.108,0.434,-1.551,0.516,1.706,0.317,NA,NA
"ATA × DBH",0.822,0.156,NA,NA,NA,NA,1.238,0.154,0.799,0.223
"DBH × IntraH",-0.257,0.026,NA,NA,-0.876,0.074,-0.468,0.048,-0.392,0.055
"DBH × InterH",-0.467,0.023,-1.017,0.069,NA,NA,-0.802,0.061,-0.48,0.059
"ATA × SA",NA,NA,-3.034,0.371,-3.975,0.461,NA,NA,1.903,0.526
"IntraH × SA",1.22,0.06,3.087,0.222,1.147,0.279,NA,NA,NA,NA
"InterH × SA",0.719,0.038,NA,NA,0.835,0.106,2.398,0.152,1.529,0.119
"ATA × IntraH",-0.227,0.052,-1.83,0.123,-0.778,0.122,NA,NA,NA,NA
"ATA × InterH",-0.122,0.023,-0.199,0.047,-0.287,0.05,-0.263,0.049,NA,NA
"InterH × IntraH",-0.085,0.009,-0.426,0.036,NA,NA,-0.252,0.036,NA,NA
"GSTA",-9.589,0.31,-8.247,0.725,-6.929,0.768,-16.566,0.583,-9.436,0.478
"(Intercept)",-9.589,0.31,-8.247,0.725,-6.929,0.768,-16.566,0.583,-9.436,0.478
"DBH",10.297,0.186,6.87,0.489,15.854,0.637,4.754,0.383,11.142,0.463
"SA",-9.902,0.262,-12.277,0.504,-11.745,0.55,-6.761,0.498,-10.888,0.684
"GSTA",0.772,0.117,1.605,0.245,1.759,0.223,2.584,0.179,-1.19,0.253
"IntraH",-2.208,0.038,-7.133,0.191,-3.983,0.202,-3.916,0.134,-1.982,0.088
"InterH",-0.456,0.027,NA,NA,-0.325,0.08,-1.477,0.094,-1.083,0.126
"DBH × SA",3.041,0.158,8.472,0.428,-4.378,0.305,2.063,0.312,NA,NA
"GSTA × DBH",1.023,0.151,NA,NA,NA,NA,NA,NA,1.287,0.279
"DBH × IntraH",-0.275,0.026,NA,NA,-0.852,0.073,-0.533,0.048,-0.383,0.055
"DBH × InterH",-0.504,0.023,-1.153,0.069,NA,NA,-0.895,0.061,-0.474,0.059
"GSTA × SA",NA,NA,-3.651,0.651,-4.467,0.641,-4.019,0.488,NA,NA
"IntraH × SA",1.279,0.06,3.638,0.222,NA,NA,NA,NA,NA,NA
"InterH × SA",0.732,0.038,NA,NA,0.715,0.094,2.619,0.149,1.468,0.118
"GSTA × IntraH",NA,NA,-2.601,0.234,NA,NA,0.63,0.12,NA,NA
"GSTA × InterH",NA,NA,NA,NA,NA,NA,-0.837,0.089,NA,NA
"InterH × IntraH",-0.098,0.009,-0.524,0.036,NA,NA,-0.327,0.036,NA,NA
"NONGSTA",-9.353,0.332,-7.471,0.725,-7.695,0.849,-16.441,0.597,-9.48,0.478
"(Intercept)",-9.353,0.332,-7.471,0.725,-7.695,0.849,-16.441,0.597,-9.48,0.478
"DBH",10.193,0.186,6.439,0.489,13.972,0.645,4.697,0.383,11.091,0.463
"SA",-10.708,0.288,-13.461,0.544,-9.594,0.565,-8.429,0.542,-11.074,0.7
"NONGSTA",0.407,0.052,0.884,0.096,-0.379,0.103,0.788,0.073,-0.484,0.141
"IntraH",-2.225,0.038,-7.223,0.191,-4.583,0.206,-3.983,0.133,-1.995,0.088
"InterH",-0.464,0.027,NA,NA,-0.364,0.08,-1.443,0.095,-1.089,0.126
"DBH × SA",2.766,0.16,6.981,0.437,NA,NA,1.624,0.317,NA,NA
"NONGSTA × DBH",0.534,0.106,NA,NA,NA,NA,0.642,0.154,NA,NA
"DBH × IntraH",-0.259,0.026,NA,NA,-0.881,0.074,-0.435,0.048,-0.397,0.055
"DBH × InterH",-0.457,0.023,-1.016,0.069,NA,NA,-0.794,0.061,-0.499,0.058
