"Species","Variable","lmg","Group"
"All","logDBHctd",0.309716469023664,"Ontogeny"
"All","Yearctd",0.00177213480459077,"Climate"
"All","logIntraHctd",0.281488085241006,"Competition"
"All","logInterHctd",0.107312207252804,"Competition"
"All","RBIctd",0.122582798305694,"Competition"
"All","logSActd",0.0296150809408941,"Ontogeny"
"All","logSBctd",0.0384128137600525,"Competition"
"All","logDBHctdlogInterHctd",0.0180051034638818,"Ontogeny+Competition"
"All","logDBHctdRBIctd",0.014159917551293,"Ontogeny+Competition"
"All","logDBHctdlogSActd",0.00259693786794106,"Ontogeny"
"All","logDBHctdlogSBctd",0.0098301255644305,"Ontogeny+Competition"
"All","RBIctdYearctd",0.0041738245904906,"Competition+Climate"
"All","logSBctdYearctd",0.00189311913498019,"Competition+Climate"
"All","logInterHctdlogIntraHctd",0.0158195538913595,"Competition"
"All","logIntraHctdRBIctd",0.00925362893169396,"Competition"
"All","logIntraHctdlogSActd",0.00124603132200861,"Ontogeny+Competition"
"All","logInterHctdRBIctd",0.0143279773955006,"Competition"
"All","logInterHctdlogSActd",0.00238670133751238,"Ontogeny+Competition"
"All","logInterHctdlogSBctd",0.00350014016642978,"Competition"
"All","logSActdRBIctd",0.00605908206613089,"Ontogeny+Competition"
"All","logSActdlogSBctd",0.00487865784593505,"Ontogeny+Competition"
"All","logDBHctdYearctd",0.000969609541706152,"Ontogeny+Climate"
"JP","logDBHctd",0.291881685761414,"Ontogeny"
"JP","Yearctd",0.0243073652859349,"Climate"
"JP","logIntraHctd",0.312538052054479,"Competition"
"JP","logSActd",0.0945599844868928,"Ontogeny"
"JP","logSBctd",0.0572568257130751,"Competition"
"JP","logDBHctdYearctd",0.0146341504460795,"Ontogeny+Climate"
"JP","logDBHctdlogInterHctd",0.00863026293141758,"Ontogeny+Competition"
"JP","logDBHctdRBIctd",0.0246503228563713,"Ontogeny+Competition"
"JP","logDBHctdlogSActd",0.0255575220649939,"Ontogeny"
"JP","logIntraHctdYearctd",0.0217404131538643,"Competition+Climate"
"JP","logInterHctdYearctd",0.00286694457182528,"Competition+Climate"
"JP","RBIctdYearctd",0.008874781235207,"Competition+Climate"
"JP","logSActdYearctd",0.00532458564964837,"Ontogeny+Climate"
"JP","logInterHctdlogIntraHctd",0.00977309979939409,"Competition"
"JP","logIntraHctdRBIctd",0.0292381149275767,"Competition"
"JP","logIntraHctdlogSActd",0.0321753709458869,"Ontogeny+Competition"
"JP","logInterHctdlogSBctd",0.00619516147976827,"Competition"
"JP","logSActdRBIctd",0.0133710507049004,"Ontogeny+Competition"
"JP","logSActdlogSBctd",0.0164243059312707,"Ontogeny+Competition"
"TA","logDBHctd",0.344190905238718,"Ontogeny"
"TA","logIntraHctd",0.256704383462494,"Competition"
"TA","logInterHctd",0.115539352918977,"Competition"
