"Species","Group","importance","importanceLower","importanceUpper"
"Jack pine","logDBH",27.3015860147042,21.1819704781342,37.1583560886317
"Jack pine","logIntraH",25.2014256217617,21.6882999723244,28.196062897644
"Jack pine","logSA",5.96387393341484,4.78039103460965,7.04181633473092
"Jack pine","logDBHlogInterH",0.97541562910825,0.31168286417974,3.38097723379058
"Jack pine","logDBHlogSA",4.30959890231091,1.96749407524954,6.13006971263018
"Jack pine","logIntraHYear",25.2435038703986,21.7135774659152,28.2475143760013
"Jack pine","logSAYear",5.9693001142841,4.77797418759505,7.04742268478807
"Jack pine","logInterHlogIntraH",1.15895647384546,0.247404312971314,3.62013869985383
"Jack pine","logIntraHlogSA",3.87633944017188,1.1236262400388,7.50112408034049
"Trembling aspen","logDBH",33.9038386197398,28.5452981168332,38.1724798802805
"Trembling aspen","logIntraH",20.5710523486689,15.5451265059189,23.7878531616116
"Trembling aspen","logInterH",8.06709763860278,3.48348310588011,14.5323369460119
"Trembling aspen","logSA",3.10059102531378,1.42924785994835,5.4163600417448
"Trembling aspen","logDBHlogIntraH",0.42983538655808,0.163495999621041,1.72092838312101
"Trembling aspen","logIntraHYear",20.5881129488731,15.5559073564831,23.8126609336944
"Trembling aspen","logInterHYear",8.07685462232564,3.48464953332337,14.5629194546811
"Trembling aspen","logSAYear",3.1020686452016,1.43131320617958,5.41844598438383
"Trembling aspen","logIntraHlogSA",0.909690356756791,0.388864835698442,4.04635804888537
"Trembling aspen","logInterHlogSA",1.25085840795961,0.282566992582172,3.86231687788193
"Black spruce","logDBH",18.7068776669001,15.6329282413872,20.5211989295594
"Black spruce","Year",0.433081149943905,0.0905784479206755,1.10227835614648
"Black spruce","logIntraH",19.9765486595299,16.742460191693,22.6464193259828
"Black spruce","logInterH",6.7862247371342,3.76633733404072,10.5035337307934
"Black spruce","logSA",5.82733328311878,3.56632896981661,8.20882752969193
"Black spruce","logDBHYear",18.7276848233015,15.6541406092938,20.5457623530145
"Black spruce","logDBHlogIntraH",0.51958365990346,0.305378301780668,1.32512491721525
"Black spruce","logDBHlogInterH",1.20150772315804,0.630639998405651,2.47383803908524
"Black spruce","logDBHlogSA",0.270264870128173,0.241376128434036,1.58424872834223
"Black spruce","logIntraHYear",19.9826908056452,16.7458057167926,22.6597271646117
"Black spruce","logInterHYear",6.7884475566831,3.77078136405175,10.5127869952252
"Black spruce","logInterHlogIntraH",0.425498910137588,0.361188822186763,1.77601216138647
"Black spruce","logInterHlogSA",0.354256154416063,0.289048311016311,1.34809235755057
"Other species","logDBH",32.3890231654368,27.111225737189,37.4214547887646
"Other species","Year",0.311311368777802,0.250348710296048,2.21428447727774
"Other species","logIntraH",23.8104902516598,18.3765384230202,27.1802409739614
"Other species","logInterH",17.1327306817663,14.7703180004915,19.9532387909329
"Other species","logSA",3.23159517119606,0.829268913007663,5.59082646947545
"Other species","logDBHlogIntraH",1.87044028606157,0.761108558692489,3.60916578681817
"Other species","logDBHlogInterH",2.66756825063306,1.00566839790687,5.16341335335454
"Other species","logInterHYear",17.1447433098104,14.7796183802913,19.9865597761446
"Other species","logInterHlogSA",1.44209751465825,0.591786044502415,4.10299968015945
