"Variable","All species_Value","All species_SS","All species_F","Jack pine_Value","Jack pine_SS","Jack pine_F","Trembling aspen_Value","Trembling aspen_SS","Trembling aspen_F","Black spruce_Value","Black spruce_SS","Black spruce_F","Minor species_Value","Minor species_SS","Minor species_F"
"Intercept","-1.0299(0.032)",NA,NA,"-0.6036(0.0525)",NA,NA,"-0.554(0.0657)",NA,NA,"-1.7139(0.0671)",NA,NA,"-1.0099(0.0457)",NA,NA
"logDBH","0.531(0.0224)",11842.14,41289.2,"0.5569(0.0524)",2106.14,7791.57,"0.9038(0.0647)",3476.89,11899.48,"0.5959(0.0342)",7789.59,27886.21,"1.0075(0.0516)",3030.96,10041.77
"logSA","-0.52(0.0222)",120.79,421.15,"-1.1154(0.048)",94.26,348.73,"-0.7521(0.0495)",94.67,324.02,"-1.147(0.0955)",16.48,58.98,"-0.4046(0.1079)",4.71,15.6
"Year",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0167(0.002)",379.93,1360.12,"-0.0233(0.003)",237.04,785.33
"logIntraH","-0.3344(0.0055)",3421.52,11929.57,"-0.6311(0.0177)",2631.21,9734.05,"-0.5337(0.021)",779.49,2667.78,"-0.3078(0.0114)",1187.44,4250.95,"-0.2154(0.0098)",173.65,575.3
"logInterH","-0.1269(0.0044)",962.37,3355.45,"-0.106(0.0142)",61.57,227.76,"-0.1212(0.0116)",67.91,232.4,"-0.0971(0.0082)",74.07,265.17,"-0.1049(0.0143)",58.91,195.19
"logDBH:logSA","0.3111(0.0178)",11.4,39.76,"0.5731(0.0433)",73,270.07,NA,NA,NA,"0.1561(0.0327)",30.06,107.6,"-0.1735(0.0482)",3.92,12.99
"logDBH:Year","-0.0156(0.0012)",99.6,347.25,NA,NA,NA,NA,NA,NA,"-0.0161(0.0019)",42.06,150.58,NA,NA,NA
"logDBH:logIntraH","-0.022(0.0032)",167.8,585.07,"-0.0388(0.0086)",19.42,71.83,NA,NA,NA,"-0.0465(0.005)",62.22,222.75,"-0.0559(0.006)",85.27,282.5
"logDBH:logInterH","-0.025(0.0029)",36.15,126.03,"-0.1198(0.021)",51.48,190.46,"0.0661(0.0127)",33.26,113.83,"-0.0977(0.0054)",5.31,19,"-0.0375(0.0059)",9.31,30.86
"logSA:Year",NA,NA,NA,"-0.0339(0.0027)",36.86,136.38,"-0.0578(0.003)",81.18,277.84,NA,NA,NA,"0.0246(0.0044)",2.95,9.77
"logIntraH:logSA","0.1346(0.0079)",79.19,276.12,"0.3172(0.0252)",40.37,149.37,"0.0598(0.018)",16.11,55.14,NA,NA,NA,"0.0667(0.0192)",23.05,76.38
"logInterH:logSA","0.1037(0.0059)",90.02,313.88,"-0.1487(0.0265)",8.52,31.51,"0.2101(0.0216)",27.56,94.34,"0.2122(0.0142)",62.54,223.87,NA,NA,NA
"logIntraH:Year","-0.0084(4e-04)",68.53,238.93,"-0.0216(8e-04)",122.75,454.1,"-0.0122(9e-04)",16.15,55.28,"-0.0101(7e-04)",43.88,157.09,NA,NA,NA
"logInterH:Year","-0.0029(2e-04)",0.55,1.9,NA,NA,NA,"-0.0053(8e-04)",0.01,0.05,"-0.0019(4e-04)",1.17,4.2,NA,NA,NA
"logInterH:logIntraH","0.0113(0.0015)",128.55,448.21,"-0.0483(0.0088)",9.12,33.72,"0.0601(0.0052)",56.38,192.94,"-0.0379(0.003)",29.48,105.55,NA,NA,NA
