"Predictor","All species Value","All species SE","Jack pine Value","Jack pine SE","Trembling aspen Value","Trembling aspen SE","Black spruce Value","Black spruce SE","Minor species Value","Minor species SE"
"ATA",-0.9061,0.0367,-0.5303,0.0506,-0.3952,0.0521,-1.432,0.0607,-0.8098,0.0529
"Intercept",-0.9061,0.0367,-0.5303,0.0506,-0.3952,0.0521,-1.432,0.0607,-0.8098,0.0529
"logDBH",NA,NA,0.5258,0.0543,0.603,0.077,0.4193,0.0388,0.4114,0.0697
"logSA",-0.3004,0.0192,-1.2905,0.0497,-0.5147,0.059,-0.732,0.0459,-0.7806,0.0681
"ATA",0.0386,0.0051,0.1388,0.0111,-0.0507,0.0108,0.0751,0.0078,-0.0697,0.0161
"logH",-0.5858,0.0026,-0.7077,0.02,-0.7116,0.0271,-0.4586,0.0158,-0.4957,0.0248
"logDBH × logSA",0.1134,0.0155,0.3822,0.0419,NA,NA,0.398,0.0402,-0.3454,0.0324
"ATA × logDBH",NA,NA,0.3288,0.0209,NA,NA,0.203,0.0098,0.102,0.0189
"logDBH × logH",-0.0325,0.0018,-0.038,0.0074,-0.0657,0.0076,-0.0529,0.0037,-0.0473,0.0053
"ATA × logSA",NA,NA,-0.338,0.0346,-0.387,0.0339,-0.0831,0.0229,0.1131,0.0423
"logH × logSA",0.1338,0.0079,0.1481,0.0259,0.1858,0.0159,0.2798,0.0203,NA,NA
"ATA × logH",-0.0529,0.0023,NA,NA,-0.0856,0.0084,NA,NA,NA,NA
"GSTA",-0.9277,0.0363,-0.6021,0.0485,-0.356,0.0546,-1.4813,0.0606,-0.809,0.053
"Intercept",-0.9277,0.0363,-0.6021,0.0485,-0.356,0.0546,-1.4813,0.0606,-0.809,0.053
"logDBH",NA,NA,0.4903,0.0547,0.5716,0.0784,0.5001,0.0393,0.426,0.0697
"logSA",-0.2579,0.017,-1.0981,0.0477,-0.6418,0.0563,-0.6763,0.0424,-0.7894,0.0651
"GSTA",0.0443,0.0084,0.1648,0.02,NA,NA,0.099,0.0146,-0.1043,0.0205
"logH",-0.5854,0.0026,-0.7244,0.0201,-0.7266,0.0279,-0.4249,0.016,-0.4906,0.0248
"logDBH × logSA",0.1217,0.0153,0.4787,0.0418,-0.3668,0.0277,0.5531,0.0396,-0.3151,0.0314
"GSTA × logDBH",0.0915,0.0104,NA,NA,0.2527,0.0386,0.1817,0.019,0.1292,0.023
"logDBH × logH",-0.0401,0.0017,-0.0268,0.0074,-0.0624,0.0074,-0.07,0.0037,-0.046,0.0052
"GSTA × logSA",NA,NA,-0.3229,0.0533,-0.6054,0.0645,-0.2793,0.0388,NA,NA
"logH × logSA",0.1237,0.0079,0.1594,0.0261,NA,NA,0.3297,0.0204,NA,NA
"GSTA × logH",NA,NA,-0.1967,0.0191,NA,NA,NA,NA,NA,NA
"NONGSTA",-0.9034,0.0368,-0.5266,0.0509,-0.394,0.0528,-1.4267,0.0606,-0.8052,0.0558
