"Variable","All species EstimateSE","All species P","Jack pine EstimateSE","Jack pine P","Trembling aspen EstimateSE","Trembling aspen P","Black spruce EstimateSE","Black spruce P","Minor species EstimateSE","Minor species P"
"(Intercept)","0.9934(0.0097)",0,"0.618(0.0249)",0,"1.1459(0.0206)",0,"0.252(0.0228)",0,"0.2917(0.0296)",0
"DBH","0.3852(0.0063)",0,"0.5706(0.0358)",0,"0.3504(0.0252)",0,"0.327(0.0092)",0,"0.9354(0.0397)",0
"Year","0.0016(0.0011)",0.15,"0.0161(0.0037)",0,"-0.0036(0.0022)",0.11,"0.006(0.0022)",0.01,"-0.0076(0.003)",0.01
"H","0.0202(0.0015)",0,"-0.1002(0.0088)",0,"-0.0886(0.008)",0,"0.0046(0.003)",0.12,"0.0083(0.0099)",0.4
"SA","-0.2596(0.0219)",0,"-0.5744(0.07)",0,"-0.2051(0.0504)",0,"-0.4027(0.0441)",0,"-0.2665(0.0794)",0
"DBH:Year","-0.0061(4e-04)",0,"-0.0299(0.0041)",0,"-0.0149(0.0035)",0,"-0.0056(8e-04)",0,"-0.0143(0.0033)",0
"DBH:H","-0.0643(7e-04)",0,"-0.122(0.0038)",0,"-0.1324(0.0025)",0,"-0.0687(0.0011)",0,"-0.1129(0.0041)",0
"DBH:SA","0.1015(0.0073)",0,"0.5662(0.0734)",0,"0.0336(0.0498)",0.5,"0.0511(0.0122)",0,"0.1892(0.0723)",0.01
"Year:H","-0.0014(1e-04)",0,"-0.0093(0.0011)",0,"-0.0049(0.0012)",0,"-0.0029(3e-04)",0,"-0.001(9e-04)",0.26
"Year:SA","-0.016(9e-04)",0,"-0.0535(0.0034)",0,"-0.0073(0.0028)",0.01,"-0.0221(0.0019)",0,"0.0077(0.006)",0.2
"H:SA","0.0572(0.0019)",0,"0.2178(0.0196)",0,"0.0455(0.0162)",0,"0.0745(0.0043)",0,"0.0948(0.0183)",0
