"Variable","All species","Jack pine","Trembling aspen","Black spruce","Minor species"
"ABGR","0.89 ± 1.41(0 to 34.92)","1.15 ± 1.28(0 to 21.65)","1.42 ± 1.99(0 to 24.26)","0.39 ± 0.57(0 to 18.26)","1.15 ± 1.9(0 to 34.92)"
"DBH","7.1 ± 5.03(0.1 to 49.6)","8.37 ± 5.05(0.2 to 32.6)","8.39 ± 4.9(0.2 to 44.3)","5.23 ± 4.03(0.1 to 28.2)","8.46 ± 6.07(0.1 to 49.6)"
"logDBH","1.66 ± 0.87(-2.3 to 3.9)","1.88 ± 0.8(-1.61 to 3.48)","1.96 ± 0.6(-1.61 to 3.79)","1.31 ± 0.91(-2.3 to 3.34)","1.83 ± 0.88(-2.3 to 3.9)"
"SA","43.25 ± 22.13(7.5 to 165.5)","34.47 ± 16.71(10.5 to 97.5)","34.37 ± 12.81(7.5 to 100.5)","52.83 ± 25.81(13.5 to 165.5)","44.49 ± 16.89(10.5 to 165.5)"
"Year","1999.79 ± 5.76(1987.5 to 2008.5)","2000.76 ± 5.51(1987.5 to 2008.5)","1999.69 ± 5.77(1987.5 to 2008.5)","1999.51 ± 5.8(1988.5 to 2008.5)","1998.87 ± 5.85(1988.5 to 2008.5)"
"IntraH","1244.28 ± 7082.27(0 to 749757.57)","144.75 ± 539.32(0 to 13984.14)","262.5 ± 3807.35(0 to 321333.73)","1477.38 ± 5307.06(0 to 476754.52)","1587.34 ± 11006(0 to 512520.61)"
"H","3317.52 ± 17987.61(0.19 to 1579765.8)","153.09 ± 566.42(0.13 to 19042.73)","426.22 ± 4768.31(0.58 to 331546.65)","4368.13 ± 17818.34(1.22 to 1293402.84)","6478.54 ± 31477.6(0.77 to 1119952.21)"
"InterH","2073.25 ± 14987.62(0 to 1573648.58)","8.34 ± 78.06(0 to 5058.59)","163.72 ± 2124.82(0 to 134983.38)","2890.75 ± 15894.42(0 to 1288394.49)","4891.21 ± 25511.81(0 to 967432.12)"
"ATA","0.05 ± 0.5(-1.02 to 1.04)","0.09 ± 0.45(-1 to 1.01)","0.09 ± 0.53(-1 to 1.04)","0.03 ± 0.53(-1 to 1.01)","-0.03 ± 0.5(-1.02 to 1.01)"
"GSTA","0.01 ± 0.27(-0.71 to 0.87)","0 ± 0.26(-0.67 to 0.87)","0.04 ± 0.28(-0.69 to 0.84)","0 ± 0.25(-0.71 to 0.84)","-0.02 ± 0.33(-0.71 to 0.84)"
"NONGSTA","0.08 ± 0.75(-1.36 to 1.49)","0.16 ± 0.67(-1.34 to 1.48)","0.12 ± 0.79(-1.36 to 1.49)","0.05 ± 0.79(-1.34 to 1.48)","-0.03 ± 0.7(-1.34 to 1.48)"
"APA","0.66 ± 38.42(-100.07 to 120.71)","6.09 ± 35.96(-100.07 to 100.33)","0.13 ± 39.01(-93.01 to 119.41)","-2.52 ± 37.24(-100.07 to 120.71)","0.47 ± 44.51(-100.07 to 120.71)"
"GSPA","3.1 ± 32.88(-71.48 to 92.56)","7.48 ± 31.95(-71.48 to 74.01)","2.89 ± 30.98(-71.48 to 91.74)","0.7 ± 32.83(-71.48 to 92.56)","2.07 ± 36.68(-71.48 to 92.56)"
"NONGSPA","-2.44 ± 18.97(-58.59 to 54.07)","-1.39 ± 20.07(-58.59 to 54.07)","-2.76 ± 20.27(-55.35 to 52.48)","-3.22 ± 16.95(-58.59 to 54.07)","-1.59 ± 20.51(-58.59 to 54.07)"
"ACMIA","1.12 ± 38.3(-123.61 to 106.92)","6.03 ± 36.23(-123.61 to 95.02)","-0.49 ± 40.19(-116.83 to 105.55)","-1.99 ± 36.85(-123.61 to 106.92)","3.45 ± 42.64(-123.61 to 106.92)"
"GSCMIA","2.8 ± 34.62(-81.71 to 88.54)","7.39 ± 33.85(-81.71 to 76.74)","1.74 ± 32.95(-81.71 to 87.62)","0.37 ± 33.9(-81.71 to 88.54)","2.77 ± 39.74(-81.71 to 88.54)"
"NONGSCMIA","-1.69 ± 19.65(-59.45 to 64.41)","-1.36 ± 20.4(-59.45 to 63.55)","-2.24 ± 21.32(-56.05 to 64.41)","-2.36 ± 17.7(-59.45 to 62.84)","0.67 ± 21.06(-59.45 to 64.41)"
"ACO2A","4.52 ± 10.36(-15.62 to 21.1)","6.24 ± 10.01(-15.62 to 21.1)","4.35 ± 10.34(-15.62 to 21.1)","4.02 ± 10.4(-13.8 to 21.1)","2.84 ± 10.5(-13.8 to 21.1)"
"GSCO2A","4.51 ± 10.41(-15.56 to 21.15)","6.24 ± 10.06(-15.56 to 21.15)","4.34 ± 10.38(-15.56 to 21.15)","4 ± 10.46(-13.78 to 21.15)","2.82 ± 10.55(-13.78 to 21.15)"
"NONGSCO2A","4.53 ± 10.32(-15.67 to 21.06)","6.25 ± 9.98(-15.67 to 21.06)","4.36 ± 10.3(-15.67 to 21.06)","4.03 ± 10.36(-13.81 to 21.06)","2.86 ± 10.46(-13.81 to 21.06)"
