"Variable","allData_summary","JP_summary","TA_summary","BS_summary","Other_summary"
"NofPlot","147","78","80","84","105"
"NofTree","20816","6284","4075","7589","2868"
"NofObs","61373","17378","12170","23616","8209"
"ABGR","0.93 ± 1.42(0 to 34.92)","1.15 ± 1.25(0 to 21.65)","1.47 ± 2.01(0 to 24.26)","0.41 ± 0.57(0 to 18.26)","1.14 ± 1.88(0 to 34.92)"
"IniDBH","7.26 ± 4.97(0.1 to 49.6)","8.25 ± 5.06(0.2 to 31.8)","8.51 ± 4.99(0.3 to 44.3)","5.48 ± 3.79(0.1 to 28.2)","8.42 ± 6.1(0.1 to 49.6)"
"Year","2000.11 ± 5.63(1988.5 to 2008.5)","2000.91 ± 5.4(1988.5 to 2008.5)","2000.07 ± 5.64(1988.5 to 2008.5)","1999.96 ± 5.63(1988.5 to 2008.5)","1998.93 ± 5.84(1988.5 to 2008.5)"
"Hegyi","114.06 ± 154.92(2.9 to 4102.64)","77.9 ± 99.42(3.37 to 1283.2)","68.95 ± 58.22(2.9 to 907.24)","166.13 ± 197.75(4.42 to 4102.64)","107.66 ± 165.41(3.4 to 2680.47)"
"RBI","57.59 ± 22.43(0 to 100)","65.71 ± 20.98(0 to 100)","60.47 ± 20.41(0 to 100)","51.7 ± 22.12(0 to 100)","53.07 ± 23.08(0 to 100)"
"ATA","0.06 ± 0.45(-1.15 to 0.96)","0.09 ± 0.43(-1.11 to 0.95)","0.09 ± 0.48(-1.13 to 0.96)","0.06 ± 0.43(-1.13 to 0.95)","-0.01 ± 0.51(-1.15 to 0.96)"
"GSTA","0 ± 0.27(-0.71 to 0.87)","0 ± 0.26(-0.67 to 0.87)","0.03 ± 0.27(-0.69 to 0.84)","0 ± 0.24(-0.71 to 0.84)","-0.01 ± 0.33(-0.71 to 0.84)"
"NONGSTA","0.11 ± 0.68(-1.32 to 1.47)","0.17 ± 0.64(-1.32 to 1.46)","0.16 ± 0.72(-1.32 to 1.47)","0.09 ± 0.68(-1.31 to 1.46)","-0.02 ± 0.7(-1.32 to 1.47)"
"APA","2.76 ± 39.12(-92.64 to 125.29)","6.72 ± 35.27(-92.64 to 103.63)","3.11 ± 38.88(-85.06 to 123.99)","0.4 ± 40.13(-92.64 to 125.29)","0.65 ± 43.37(-92.64 to 125.29)"
"GSPA","4.86 ± 33.09(-71.48 to 92.56)","8.09 ± 31.66(-71.48 to 74.01)","5.04 ± 30.88(-71.48 to 91.74)","3.36 ± 33.63(-71.48 to 92.56)","2.09 ± 36.88(-71.48 to 92.56)"
"NONGSPA","-2.47 ± 18.93(-58.59 to 54.07)","-1.55 ± 20.01(-58.59 to 54.07)","-2.49 ± 20.67(-55.35 to 50.43)","-3.27 ± 16.87(-58.59 to 54.07)","-2.07 ± 19.4(-58.59 to 54.07)"
"ACMIA","5.8 ± 43.91(-137.21 to 129.56)","10.17 ± 42.3(-137.21 to 129.56)","5.52 ± 44.42(-130.12 to 122.83)","3.08 ± 42.67(-137.21 to 129.56)","4.76 ± 49.03(-137.21 to 126.82)"
"GSCMIA","7.33 ± 40.29(-102.24 to 91.92)","11.12 ± 39.87(-99.66 to 91.92)","7.19 ± 38.59(-100.56 to 91.92)","5.7 ± 39.27(-100.68 to 91.92)","4.23 ± 45.63(-102.24 to 91.92)"
"NONGSCMIA","-1.51 ± 18.69(-59.4 to 53.71)","-0.93 ± 19.71(-59.4 to 53.71)","-1.89 ± 20.87(-56.31 to 49.16)","-2.4 ± 16.65(-59.4 to 50.78)","0.37 ± 18.4(-59.4 to 53.71)"
"ACO2A","5.09 ± 10.24(-13.81 to 21.16)","6.53 ± 9.9(-13.81 to 21.16)","5.03 ± 10.22(-13.81 to 21.16)","4.8 ± 10.24(-13.81 to 21.16)","2.94 ± 10.55(-13.81 to 21.16)"
"GSCO2A","5.06 ± 10.24(-13.78 to 21.15)","6.5 ± 9.9(-13.78 to 21.15)","5 ± 10.21(-13.78 to 21.15)","4.77 ± 10.24(-13.78 to 21.15)","2.92 ± 10.54(-13.78 to 21.15)"
"NONGSCO2A","5.08 ± 10.15(-13.81 to 21.06)","6.51 ± 9.81(-13.81 to 21.06)","5.01 ± 10.14(-13.81 to 21.06)","4.79 ± 10.14(-13.81 to 21.06)","2.95 ± 10.45(-13.81 to 21.06)"
