"rn","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",-1.02132721439448,0.0413871369761829,70307,-24.6774067745305,6.96786235496173e-134
"logDBHctd",0.718063858244602,0.0167197238695025,70307,42.947112275842,0
"logIntraHctd",-0.298463275098521,0.00485290982126768,70307,-61.5019207219795,0
"logWD",2.19176484206657,0.138009354459078,70307,15.8812774007755,1.07236157441959e-56
"logInterHctd",-0.138053159802479,0.00299159361792568,70307,-46.1470297888265,0
"logSActd",-0.763042732991407,0.022613627820901,70307,-33.7426059646278,1.32278992134221e-247
"logDBHctd:logIntraHctd",-0.0106788578872945,0.00246728498552922,70307,-4.32818176656797,1.50552743585402e-05
"logDBHctd:logWD",-1.41185663307585,0.152183165473952,70307,-9.2773509387772,1.7848664180535e-20
"logDBHctd:logInterHctd",-0.0283537622560891,0.00278053343410934,70307,-10.197238381768,2.12134066888029e-24
"logDBHctd:logSActd",0.330483856206066,0.0174901659340924,70307,18.8954099950462,1.95962212965323e-79
"logIntraHctd:Yearctd",-0.00456709998018629,0.000311524829185321,70307,-14.6604686121805,1.36249536867018e-48
"logWD:Yearctd",-0.0346761480119436,0.00689153321625474,70307,-5.03170294966504,4.87337580623658e-07
"logInterHctd:Yearctd",-0.0044509671790672,0.000216371447419861,70307,-20.5709544033796,9.45065984191892e-94
"logSActd:Yearctd",-0.00840114906967133,0.00133309623610092,70307,-6.30198243919978,2.95597196109725e-10
"logIntraHctd:logWD",0.365332049630776,0.0297339363700835,70307,12.2867031490103,1.15895570991893e-34
"logIntraHctd:logInterHctd",0.0112640455378775,0.00137469256033178,70307,8.19386520514735,2.57175031953964e-16
"logIntraHctd:logSActd",0.1483864178178,0.00702099804615064,70307,21.1346616025844,7.76522436318771e-99
"logWD:logInterHctd",-0.607654961663007,0.0507080937882961,70307,-11.9833919255561,4.67650545744764e-33
"logWD:logSActd",1.59295138893708,0.126612477977852,70307,12.5813143726302,2.92760243240409e-36
"logInterHctd:logSActd",0.125651608055258,0.00507045524566794,70307,24.7811294977136,5.45689629563566e-135
